Character,Dialogue
unknown,Or am I talkin' too fast for you?
unknown,Soft Jazz music plays
unknown,Soft Jazz music plays
unknown,Soft Jazz music plays
unknown,Notice some of our more discreet backroom items are now on display at the front of the store.
unknown,"That would have nothing to do with the conversation we just had before I left, would it?"
unknown,"Oh, well people have been asking for plungers, and uh, you insist on keeping them hidden away in the back room because you find them offensive."
unknown,"- So, uh, I thought given the demand for some more basic items, this could be a good opportunity for you to make a compromise."
unknown,"Okay, I mean if assaulting customers with the sight of a toilet plunger the minute they walk in the door is something that you consider to be an effective business strategy, then that is a compromise that I am willing to make."
unknown,- Look at his face.
unknown,- Look at your face.
unknown,"Well, then obviously you'll have no problem if I get the toilet brushes out here, too."
unknown,Soft Jazz music plays
unknown,"Is something wrong, David?"
unknown,You do this every night you go out?
unknown,I do this every night.
unknown,"Well, look at the two of you."
unknown,Oh you remind me of my days at the old Mudd Club on the Lower East Side.
unknown,I remember one regrettably early morning with Johnny Thunders.
unknown,"Okay, can we help you with something?"
unknown,"Oh, I'm sorry, can't a mother show a little interest in her only daughter's social calendar?"
unknown,"So, what establishment are we going to grace tonight?"
unknown,It's just a bar on the outside of town.
unknown,And how are we getting around?
unknown,They don't allow you to drink and drive anymore.
unknown,We will be taking a cab.
unknown,I will drive you!
unknown,"Oh dear, I have the night to myself, and I would like nothing better than to find a new man for Twyla."
unknown,"I see before me, a beautiful young woman in her prime, who deserves every happiness."
unknown,"Rose, that's the nicest thing anyone's ever said to me."
unknown,And I mean every word of it.
unknown,So I think you girls should allow me to play chauffeur for the evening.
unknown,It'll be the black car out front.
unknown,"Okay, I know what our car looks like, but thank you."
unknown,Muffled music and chatter
unknown,"Before you go in, a bit of advice from someone who's been around."
unknown,"Okay, pretty sure we didn't ask you, but sure."
unknown,"If, and when, you meet someone who catches your eye, hold his gaze."
unknown,"Then walk up behind him, trace a single finger down his back."
unknown,"And if he follows you into a dark corner of the bar, it's meant to be."
unknown,"Hm, that sounds super embarrassing."
unknown,"It was my go-to move many years ago, and it always paid off."
unknown,And do you know who my last target was?
unknown,- Who was it?
unknown,John Cougar - No.
unknown,But guess who drove me home that night?
unknown,"- Yes, you're right."
unknown,And that car ride was better than any dark corner dalliance with JCM.
unknown,Sometimes in life and in love risks must be taken.
unknown,One never knows what may happen.
unknown,Shall I wait here for you both?
unknown,"Um, we're not in high school, so I think we're good, - but thank you."
unknown,"Thanks for the ride, Mrs."
unknown,You're wrinkled in the back.
unknown,Roland shouts and laughs
unknown,Door opens and shuts
unknown,"Low music plays from the game, controller clicks"
unknown,"All right, have a good night, Johnny."
unknown,What're you still doing here?
unknown,"Well, I'm just kicking back a little bit."
unknown,It was a busy day.
unknown,"You have a pregnant wife at home, it's 900 at night, you're here playing video games?"
unknown,"What are you, hiding out?"
unknown,"No, I'm not hiding out, Johnny."
unknown,"Roland, I brought you ribs for dinner."
unknown,"Oh thank you, honey."
unknown,"So, he seems to be making himself comfortable here."
unknown,"Yes, a little little too comfortable."
unknown,"Jocelyn, I don't wanna start anything here, but Roland did finish work a few hours ago, and I was telling him that he should be heading home?"
unknown,I have just remembered how attentive Roland gets when I am pregnant.
unknown,"He is very hands on, very concerned, and he is just always there."
unknown,"So we were thinking that it might better, for me, if we could just kind of extend his work day, you know, to allow for some more alone time."
unknown,I just upgraded my wand!
unknown,Two more levels and I'll have enough opals to buy the harp.
unknown,"Way to go, honey!"
unknown,I just need some alone time.
unknown,"So, I don't think I'm gonna need a ride home tonight."
unknown,"Oh my God, that's so great!"
unknown,Because I think I'm going home with a guy.
unknown,"No, yeah, I pieced that together."
unknown,"He plays soccer, and he works at the quarry, and we both have the same second favourite color."
unknown,Your mom's trick totally worked.
unknown,"I ran my finger down the backs of three different guys, and one of them turned around."
unknown,It's a total numbers game.
unknown,You're gonna be okay?
unknown,"Yeah, yeah, for sure."
unknown,I'm just so glad I took a risk.
unknown,"Speaking of which that guy over there, he's been staring at you all night."
unknown,"- Hey, can you hear me?"
unknown,"Just joking, you've got Ted's voice-mail."
unknown,Don't you hate it when people do that?
unknown,"Me too, and yet I just did it."
unknown,"Anyway, leave a message and I'll call you back."
unknown,"Patrick You know, I have to say, if we hadn't put these babies out there, there's a strong possibility we wouldn't have sold two of 'em today."
unknown,But at what cost?
unknown,And the mark-up on the plungers is actually very good.
unknown,Makes me think that we should be taking more products from the back and actually putting them out there.
unknown,"Okay, no, no, no, no, no."
unknown,"Fine, I'm terrible at compromise!"
unknown,"There, I said it."
unknown,"Like Beyonce, I excel as a solo artist, and I was also dressed by my mother well into my teens, - okay?"
unknown,"- Let it out David, let it out."
unknown,I'm sorry that I just know what looks correct.
unknown,And this situation is not correct!
unknown,"Toilet plungers on display at the front of a store, is incorrect!"
unknown,Breath mints where the lip balms should be.
unknown,"These mountaineering shoes that my boyfriend is wearing, looking like Oprah on a Thanksgiving Day hike, incorrect."
unknown,"I'm sorry, what did you just say?"
unknown,I said the breath mints need to move.
unknown,I think it was something about your boyfriend's shoes?
unknown,Um I don't remember saying that.
unknown,"Yeah, no, that's what I heard."
unknown,"Well hey, my boyfriend doesn't like the shoes, I could, I could take the shoes off."
unknown,"I mean, or not."
unknown,I don't remember saying it.
unknown,"So, you can do whatever you'd like."
unknown,I think my work here is done.
unknown,"And what work is that, exactly?"
unknown,"Door opens, bell jingles"
unknown,"My boyfriend doesn't like the shoes, so I'm gonna take the shoes off."
unknown,"Okay, before you do that, um, I just wanna let you know that sock feet in a public place is also incorrect."
unknown,We do what we have to do.
unknown,You were in the bar?
unknown,How did I not see you?
unknown,"I I wanted to wait for you, but I got bored in the car."
unknown,"Bored, so I found a lovely little speakeasy at the back of the club."
unknown,"Oh, she used your little finger trick."
unknown,So I guess we won't be waiting for her!
unknown,- Guess we won't.
unknown,Are you goin' back in?
unknown,There's no one in there for me.
unknown,"Well, I I didn't want to say this in front of Twyla but there was a reason I drew Mr."
unknown,Cougar Mellencamp into that dark corner of the bar instead of your father.
unknown,"I don't need to know how this story ends, so Your father was with someone at the time."
unknown,But I knew there was something between us.
unknown,I just knew it.
unknown,"Whatever it was, it was worth waiting for."
unknown,"Well, that's very cute for you, but I don't know what that has to do with me."
unknown,It took a year.
unknown,"But if it's meant to be, they'll come around!"
unknown,- Should we call it a night?
unknown,"I think so, too."
unknown,"Footsteps crunch, keys jingle"
unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired January 2015 to April 2020."
unknown,"Oh, John, I do love how you keep the magic alive."
unknown,"Well they're not from me, Moira."
unknown,"""Sorry for your loss."
unknown,She was really something.
unknown,"Well, I don't know."
unknown,They didn't even put their name on the card.
unknown,The internet says you're dead.
unknown,Your mother's not dead.
unknown,I'm standing right here.
unknown,"Yeah, well now I know, but it's weird - 'cause they're still saying it."
unknown,- So people are believing it?
unknown,"Um, well it doesn't help that Alexis just tweeted ""Goodbye to a great actress,"" with a cool sunglasses emoji."
unknown,"Ok, I'm wearing sunglasses because I'm in mourning, David."
unknown,What is the source of this falsehood?
unknown,And what photo are they using?
unknown,"Unclear and primarily a head-shot from the 90's, so fresh, and young, and permed."
unknown,So what are you saying?
unknown,The entire internet thinks your mother is dead?
unknown,"- Um, well not like the entire internet."
unknown,- Knock on door
unknown,"It's not even trending, which is actually kind of sad."
unknown,- That's what you think is sad?
unknown,Someone just dropped these off for you.
unknown,I'm assuming you're not dead?
unknown,"All right, consider this camel's back broken."
unknown,Who sends pink carnations?
unknown,"Oh Johnny, Johnny, get over here."
unknown,"Come on, lemme give you one."
unknown,"Oh good, that feels good, doesn't it?"
unknown,- She's - Let it out.
unknown,"She's not dead, Roland."
unknown,"Boy, it's strange, I can almost still smell her perfume."
unknown,It's because I was just talking to her.
unknown,"You know, sometimes I wear Jocelyn's robe when she's outta town."
unknown,"Yeah, it was a misprint, Roland, Moira's very much alive."
unknown,"Oh, well, thank god!"
unknown,"You know, I gotta be honest with you, this news really kinda hit me hard."
unknown,"Yeah, the first thing I thought of is what would happen to the baby if something happened to us?"
unknown,"Roland, this is kind of a heavy conversation - to have at 9 a. m. , isn't it?"
unknown,"- Johnny, Johnny, I want you to be the godfather to my child."
unknown,"Well, it's a no-brainer, Johnny."
unknown,"- I mean, we're best friends."
unknown,- Yeah but are we?
unknown,"And to mark the occasion, I wanna take you to a celebratory lunch."
unknown,Well that's not necessary.
unknown,"Well, nothing's too good for the godfather of my child."
unknown,I can't believe it.
unknown,"I mean, I literally saw her walk past the cafe yesterday."
unknown,"And again you know, my thing with ghosts?"
unknown,- But she didn't seem angry - like the other ones.
unknown,"You know, it says here, that Moira was projected to be nominated for 10 Daytime People's Choice Awards."
unknown,The most projected nominee - to have never actually been nominated.
unknown,We were just reading an article that said you were Shh.
unknown,It's so good to see you.
unknown,"Due to careless reporting, and the gullibility of the masses, everyone thinks I've died."
unknown,"Yeah, because the news is everywhere."
unknown,Did you see the byline by Maria Menounos?
unknown,How did it go?
unknown,The unsung hero of afternoon television.
unknown,Oh they're singing my praises now.
unknown,"Oh Moira, we are so happy that you are okay!"
unknown,"Yes, Jocelyn, thank you."
unknown,Can you imagine an alternate universe in which I've actually died?
unknown,I wonder what you'd be saying.
unknown,I don't even wanna think about it.
unknown,"But theoretically, what do we think we'd be saying right now?"
unknown,"Uh, she always kept things interesting."
unknown,Or uh heaven just got its newest leading lady.
unknown,"Alrighty, I think we should get to rehearsal, okay?"
unknown,We can revisit this later.
unknown,"Alexis Thank you so much for taking me out, David."
unknown,I really needed it.
unknown,Especially after everything that's going on with Mom.
unknown,"Okay, is that the reason, or is it because I'm on a buying trip, and that means you get free samples?"
unknown,"We make a very good team, David."
unknown,"You do the talking, and I sample the merchandise."
unknown,"And speaking of, we might have to circle back and get more of these peanut butter things - from those old farm witches."
unknown,"- They were Mennonites, and I would put the peanut butter square down, we're about to spend the afternoon sampling a lot of cheese."
unknown,"Nom nom for us, David."
unknown,"Never say nom nom, again."
unknown,"Anyway, this is a very important account for me."
unknown,"I've been trying for the past little while to secure an exclusivity deal with this vendor, but she's very picky about her retailers."
unknown,Everyone's trying to get their greasy hands on her cheese.
unknown,Does this cheese woman have animals on her farms?
unknown,Does she have goats?
unknown,"Well, we're about to sample some goat's cheese, so I would imagine she has goats on her farm."
unknown,"- This is Heather Warner's farm, David."
unknown,"No, like Heather, Heather."
unknown,"0 She's 42, and I know!"
unknown,"I can't have your personal drama storming over my business dealings right now, so I think it's best if you got out of the car, - and walked home."
unknown,"That would take like 15 minutes, David, that's absolutely not happening."
unknown,"Anyway, don't worry about me."
unknown,"Um, then maybe it's best if you stayed in the car with the windows down."
unknown,"Stop it, David, I'm not a baby."
unknown,Doors open and shut
unknown,So just Crow cawing
unknown,"So Roland, I've been thinking about your very generous offer to be godfather to your baby."
unknown,"It's not an offer, Johnny, it's an offer you can't refuse."
unknown,"Ha ha, Marlon Brando."
unknown,"- Right, but from what movie?"
unknown,"- No, from Casino."
unknown,"It wasn't Casino, Brando wasn't in Casino, but - Hmm?"
unknown,"- Roland, I assume when you say godfather that it's, you know, just an honorary title?"
unknown,You'd have to step in and raise my kid if something happened to Jocelyn or me.
unknown,"Which isn't gonna happen, but you never know in life."
unknown,Our house inspector said that our furnace could go any day.
unknown,"Oh, and I'm thinking of getting Joce his-and-hers cliff diving lessons for her birthday."
unknown,"Oh, yeah, well you see that concerns me a little."
unknown,"Well, those are just kind of extreme examples, Johnny."
unknown,"I mean, other than that I'm in the prime of good health."
unknown,Except for this friggin' mole on my back.
unknown,"Okay, scoop of tuna on the Mediterranean salad, for you."
unknown,"And the usual fried chicken on a waffle, extra skin."
unknown,- I will be right back - with the hot sauce and butter.
unknown,"- Yes, and the gravy, Twyla, please."
unknown,"See the thing is, Roland, I don't think you realize just how big a responsibility you'd be, I don't wanna say strapping to my back, but Well, Johnny, that's why I'm asking you because um, I consider you family."
unknown,"Well, as a family member, I feel we can say anything to each other."
unknown,"- And, quite frankly, your lifestyle choices are making me just a little nervous."
unknown,Don't worry about me.
unknown,It's just a little piece of skin back there.
unknown,- I got it.
unknown,Do you wanna have a bite?
unknown,I'll give you a bite you can't refuse.
unknown,"No, no, that's okay."
unknown,"Well, this is quite the spread."
unknown,Look at all this cheese.
unknown,Nom nom for I'm glad we could finally make this happen.
unknown,I know I've been a little hard to pin down.
unknown,"It's just we're a family-run business, and there's an apprehension about branching out."
unknown,"I totally, totally get that."
unknown,We are also a family-run business.
unknown,- This is my sister.
unknown,I thought you had a male business partner.
unknown,She is an intern.
unknown,"Um, in training to be CEO of executive buying so Okay."
unknown,"Anyway, I just thought if we partnered together, we'd be able to extend your customer base, and raise your brand awareness."
unknown,"Ultimately, like, raise brand awareness."
unknown,"Listen, David, I love your store."
unknown,But I wanna be up front with you.
unknown,I have been approached by a couple of other retailers that I have to consider.
unknown,"Someone's in demand, isn't she?"
unknown,"Which makes sense because this cheese is amazing and like I don't usually love goat cheese, but Thank you."
unknown,I do have some prize-winning goats.
unknown,And it doesn't hurt that I'm dating a vet.
unknown,Must be very helpful for you.
unknown,"You know, there is something so familiar about your voice."
unknown,"No, people have told me that I just have like, - one of those voices."
unknown,Super generic and trill.
unknown,"Anyway, I just happened to eat one of those pieces of blue cheese, and normally I don't like blue cheese in my mouth, but that was very not bad."
unknown,I am with you.
unknown,I wasn't a fan of it either until I started using it in salads.
unknown,"- Speaking of salads, I just whipped up a big lunch."
unknown,I would love it if you guys could stay.
unknown,"No, I for one just had like a very big peanut butter thing, so I'm feeling pretty Well, I for one did not."
unknown,So we would love to stay for lunch - with an important supplier.
unknown,"By all means, keep sampling, and I will start bringing out the food."
unknown,"Oh um, I hope you don't mind if my boyfriend joins us?"
unknown,Your boyfriend is here?
unknown,"You know what, I'm realizing that this might be an imposition."
unknown,Get in the car!
unknown,Not an imposition at all.
unknown,The clients are gonna stay for lunch.
unknown,Would you mind helping me set the table?
unknown,"Oh, Becca DeMornay, what a sweetheart."
unknown,It's times like this you learn who your true friends are.
unknown,Stevie There's kind of a situation out here.
unknown,Door opens and shuts
unknown,"Oh hey, so there's a reporter outside, asking questions."
unknown,I thought you should know.
unknown,"Yeah, didn't you expect them to come?"
unknown,"Well, I thought it might be contained to the internet."
unknown,Is there a scrum?
unknown,How many camera crews?
unknown,I think just one.
unknown,Unless they all used the same van.
unknown,"This is not, not how I imagined my resurrection news to break!"
unknown,Impeccably dressed woman wanders out of Podunk motel.
unknown,"No, that's not the headline!"
unknown,"Okay, well I actually own this Podunk motel, and I don't know what choice you have."
unknown,"Well, we have to think of something."
unknown,After all my fans have endured?
unknown,"No, I can't let them see me like this."
unknown,It would kll Sir Tony Geary.
unknown,"Well, this looks delicious."
unknown,Thank you so much for having us.
unknown,"Well, this quiche is a treat."
unknown,I didn't know you'd gotten into prepared foods?
unknown,I just made this for lunch.
unknown,"But if you've ever had her quiche, you can definitely say that it is eggs-cellent."
unknown,So how is it you know each other?
unknown,"Um, well Uh well Alexis and I worked together."
unknown,She used to be my receptionist.
unknown,That's how I know your voice.
unknown,You answered the phones at the vet's clinic.
unknown,"Well, I mean, like technically I had more responsibility than just answering the phones but Oh, and Ted is the vet that you said you were dating."
unknown,"- Okay, because when you said vet, I thought you meant like, - a wr Vet."
unknown,"Yeah, no definitely not a wr Vet."
unknown,Damn these fallen arches.
unknown,"I mean I must've called there every day, for months."
unknown,"David, see, now this all makes sense."
unknown,"- The quiche is vivacious, and that is not a word I use to describe quiche often, but you know, when the time is right."
unknown,"You know, Alexis, I feel like I really need to thank you."
unknown,"Had you not passed along all those messages to Ted, I mean, looked what happened."
unknown,"I feel like we owe you, or something."
unknown,"Well, she's a very generous person so Awkward silence"
unknown,"Well, if you are looking for a way to thank me, I know that David is looking for exclusivity on your products."
unknown,"Ooh, she is good."
unknown,"Um Well, that is why she is one of our finest interns."
unknown,"We-we need to get ahead of this, Stevie."
unknown,"We must, we must craft the perfect spin that both proclaims I'm not dead, and explains why I've been found here."
unknown,We'll tell them you brainwashed me.
unknown,Could you tell then someone else brainwashed you?
unknown,Our family joined a cult.
unknown,"There was a charismatic leader, 40 something, very sexual, had very long hair, longer than you'd expect, but it worked."
unknown,How 'bout this idea?
unknown,"Um, what about telling the truth?"
unknown,"Oh Stevie, yes, those stories are always successful."
unknown,"- No, I meant the actual truth."
unknown,I've been reading what people have been saying about you.
unknown,They're gonna be really happy you're still around.
unknown,"Yeah, I don't think loyalty was ever in question."
unknown,Then why not come forward and be honest about where you are?
unknown,"Stevie, I don't Okay, that reporter's not gonna be out there forever."
unknown,"This is your chance to tell your own story, in your own words."
unknown,Like we did during the writer's strike.
unknown,You have the opportunity to create your own headline!
unknown,"And honestly, would you rather be thought of as dead, than living here?"
unknown,I'm thinking on it.
unknown,"Look, Jocelyn, the last thing I want is for this conversation to get uncomfortable."
unknown,But-but there is a delicate issue that I wanted to talk about.
unknown,Roland asked if you wanted to be godfather to the baby.
unknown,- He has been asking everybody to be the godparent.
unknown,"You're the 3rd person I've had to talk to today, so."
unknown,"I just think he wants to make sure that our bases are covered, you know?"
unknown,"Well that's a relief, that your bases are covered."
unknown,"But here's the good news, if something does happen to one of our first 3 choices, we will definitely be knocking on your door."
unknown,"It's all for the best, Jocelyn, because frankly the thought of raising another kid Yeah, well, let's face it, your first 2 were no walk in the park, right."
unknown,"Well, they're good kids."
unknown,"Yeah, I mean you had a lotta help."
unknown,"Yeah, but you know, we're very capable parents."
unknown,"Well if you like, we could um, move you up the list?"
unknown,"No, no, no, but this has all been very, very helpful."
unknown,Slow song plays on radio
unknown,"Ahem, well, that went well."
unknown,You didn't have to do that.
unknown,"I just like, hate how good this cheese is."
unknown,That wasn't the most comfortable situation to be in.
unknown,I'm just glad Ted's found someone so stable and healthy.
unknown,"You're in love with him, aren't you?"
unknown,"Moira I've always had great affection for the press, and my fans."
unknown,"My fans, and the press, so thank you."
unknown,Do you happen to know where the van went?
unknown,"Uh, yeah, apparently there was another celebrity death."
unknown,"Um, you know that YouTube video of the giraffe and the kitten who are best friends?"
unknown,"Alas, I do not."
unknown,"Okay, well the giraffe stepped on the kitten."
unknown,"Well, of course he did."
unknown,I didn't think you were gonna talk to them.
unknown,"Oh, uh you know what, I'm relieved."
unknown,"Yes, enough of me for one day."
unknown,"Yeah, well I mean, it's pretty amazing to see how many people care about you."
unknown,"- I mean if I died, I'd be lucky if 1 person had something nice to say."
unknown,"Stevie, you have years ahead of you still to collect a cartage of adoring mourners."
unknown,"In the meantime, they will laugh in your face, and they'll sab you in the back, but the moment you give up the ghost, oh they'll all have nothing but nice things to say about you."
unknown,I know I will.
unknown,"And I, for one, am through with trying to impress people."
unknown,I like the outfit you chose.
unknown,"Well, you were a big help, Stevie."
unknown,Heading to the cafe.
unknown,It's always nice to dress for dinner.
unknown,"Alexis According to this, you're alive again."
unknown,"Well, looks like we're back, sweetheart!"
unknown,"Well, it was fun while it lasted."
unknown,I guess we should think about returning some of these gifts?
unknown,"And excuse me, but this is the first time we've heard from most of these people."
unknown,These gifts are long overdue.
unknown,As if this day couldn't get any worse.
unknown,Cuppy the Kitten's dead.
unknown,"Oh my god, what happened?"
unknown,"I don't know, I'm reading, David."
unknown,He stepped on her?
unknown,Weren't they best friends?
unknown,"'K, Kelly Ripa just tweeted, she's taking tomorrow off."
unknown,Hashtag RIP Cuppy is trending.
unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired January 2015 to April 2020."
unknown,"Roland Hey Ronnie, I need the combination to the safe."
unknown,You have the combination.
unknown,"Okay, then I need the number of a locksmith."
unknown,I used a guy this weekend.
unknown,"Yeah, Gwen locked me out."
unknown,"Roland, why do you need the safe?"
unknown,"I've just been to the baby doctor, and I have some top secret information about whether it's a boy or a girl."
unknown,Joce and I wanna keep it a surprise.
unknown,Your wife's pregnant in her 40's.
unknown,How many surprises do you need?
unknown,"Uh, it's kind of a Schitt family tradition there, Ronnie."
unknown,"Okay, I guess I just gotta crack this myself."
unknown,"It's either my birthday, or Gloria Estefan's."
unknown,"- Mucho Dias, mes amis."
unknown,"Anyway, moral of the story, I got a new keychain, and I keep a sleeping bag in the car."
unknown,"Okay, turns out it's Gloria's, September 1, 57."
unknown,Who put a picture of a ghost on my desk?
unknown,- I can't believe you opened that!
unknown,- It was on my desk.
unknown,That's the sonogram of our baby!
unknown,I've been tryin' not to look at it.
unknown,We don't wanna know what we're having.
unknown,"Roland, you couldn't possibly discern oh no, it tells you here at the bottom."
unknown,- Don't say a word.
unknown,- That's not fair!
unknown,"Roland, why should I be the only one encumbered with this emotional cargo?"
unknown,"Oh, Ronnie, Ronnie, might you and I confabulate for a moment in the back room?"
unknown,"No, Moira, I'm not falling for that one."
unknown,"No, I assure you."
unknown,I assure you it's a salacious bit of Council-related news.
unknown,"Footsteps shuffle, floorboards creek"
unknown,"Deep inhale, slow exhale"
unknown,"Okay, I'm gonna say it, we've been open for 3 hours now, and not a single customer's walked through that door."
unknown,"Well, I mean, I heard that there was a storm warning - for today, so."
unknown,How do you explain yesterday?
unknown,Maybe the storm warning was for yesterday.
unknown,So then how do you explain today?
unknown,"Okay, I don't have all the answers."
unknown,"Um, have we checked to see if the door is unlocked?"
unknown,I think that we need to be a little more proactive about this.
unknown,We can't just wait for people to come in.
unknown,We have to find better ways to engage with the community.
unknown,"Or, hey, just like a way."
unknown,Just one way to engage with the community.
unknown,"Well, there's someone that is going to the caf."
unknown,You know why people are always in the caf?
unknown,"Because they feel at home there, it feels like comfortable."
unknown,"Okay, are you saying that I don't make people feel at home?"
unknown,You remember our opening day here?
unknown,"It was opening day, and there was booze."
unknown,- And people are drunks.
unknown,- Yes but they still showed up.
unknown,"We need to do something to make this store feel a little bit more accessible, - a little bit more inclusive."
unknown,"Well, I am open to suggestions."
unknown,What if we hosted an open mic night?
unknown,I am open to suggestions.
unknown,I actually used to host one in high school.
unknown,"There was a little caf around the corner from my house, it had a little stage in the back."
unknown,Drew a pretty big crowd.
unknown,"So there was a point at which you, and some of your fellow amateur singer songwriters would gather and perform poetry and songs?"
unknown,- For one another?
unknown,The occasional improve troupe would stop by.
unknown,I'm um I'm feeling kind of ill.
unknown,"David, you can laugh now, but an open mic night can be a surprising amount of fun."
unknown,"Worst case scenario, we get some people in the store."
unknown,"Okay, no, worst case scenario, I watch improv."
unknown,"Okay, so first of all, I would like to thank you both for meeting with me today."
unknown,Was this really necessary?
unknown,"That's a good question, and the answer is, yes."
unknown,"Um, I'm just gonna say it."
unknown,"This place needs a tonne of work, like top to tail."
unknown,"We're talking serious, but manageable, fixes."
unknown,I think what you mean to say is proposed improvements?
unknown,"No, I mean like full-blown things that need fixing."
unknown,"Um, the comment cards, for example, It's become very clear to me that you don't read them."
unknown,They're just a placebo effect for people who feel the need to complain.
unknown,"Uh, you have to take those with a grain of salt, honey."
unknown,Those cards are written by embittered people with way too much time on their hands.
unknown,A lot of these are from Mom.
unknown,"Um, but some of them are from people who are trying to point out things like, you don't even have a website."
unknown,- We have a website.
unknown,"I looked it up, and it's just like a cartoon of a construction worker holding a sign that says ""we'll be right back""."
unknown,And the phone booking system works just fine.
unknown,"Um, actually the phone booking system is confusing, and the woman's voice was aggressive and off-putting."
unknown,- I had strep at the time.
unknown,"I'm gonna offer you both a PR and marketing strategy, pro Bono."
unknown,"And if you're into it, we'll pull the trigger, we'll work on my contract and my salary, and then we'll get things going from there."
unknown,"Well, now's not the time to take our foot off the gas, Stevie, and if we have a publicist at our disposal."
unknown,Would we call her a publicist?
unknown,"Um, I actually prefer to be called - a freelance brand invigorator."
unknown,And I also have a super easy multi-step plan in place for the motel.
unknown,"Um, maybe we should take a minute and think about this."
unknown,"Well, I don't think there's any harm in exploring Step 1 of the plan."
unknown,"That's great, because Step 1 of the plan was this presentation, and we nailed it."
unknown,"So, as your new VP of Marketing and Communications, I'd say we're off to a great start."
unknown,"Customers chatter, low music plays"
unknown,"Don't worry, Moira, I'm not gonna ask you whether I'm having a boy or a girl."
unknown,"Roland told me what happened today, I just feel terrible that you are in this sticky situation."
unknown,"Don't worry, I've propelled it to the back of my brain."
unknown,"You must think that this is silly, but keeping the gender of the baby a secret is a bit of a tradition in Roland's family."
unknown,"I believe he said so, yes."
unknown,It goes way back.
unknown,"Yeah, his great-great-great great-grandmother accurately guessed the sex of her daughter's baby, and then was put on trial for witchcraft, - so, you would see why."
unknown,- Toil and trouble.
unknown,Roland never should've left that envelope on your desk.
unknown,"And now look at you, burdened with this secret."
unknown,"I mean, you must just wanna shout out ""it's a boy!"" Or, ""it's a girl!"""
unknown,- Is it a girl?
unknown,"- Valiant attempt, Jocelyn."
unknown,I was just testing you.
unknown,"I mean, I wouldn't wanna break the Schitt family tradition."
unknown,"Oh Jocelyn, look at yourself."
unknown,I'm embarrassed by my behaviour.
unknown,"And you are being so strong, Moira."
unknown,"I can't imagine just holding all that information, keeping it to yourself."
unknown,She just have forgotten her handbag.
unknown,"I'm sorry, you were talking about something?"
unknown,Someone took a long coffee break.
unknown,"Oh, I'm sorry, did I miss the evening rush?"
unknown,"Uh, yes, one customer came in, who was asking for directions."
unknown,"Well, I have good news."
unknown,"I got us a permit for tomorrow night, and Ronnie says that we can get around the liquor license if we just charge people cover at the door, so."
unknown,What's the permit for?
unknown,The open mic night.
unknown,"So we're moving forward with the open mic night, then."
unknown,We're moving forward with it.
unknown,"People are pretty excited about it, too."
unknown,Did you know Bob does beat poetry in his spare time?
unknown,Um what's that-what's that?
unknown,This is called an acoustic guitar.
unknown,"Okay, when we were talking about the open mic night, I thought that you would be hosting it, not performing at it."
unknown,"Well, traditionally the host plays at least one song, so."
unknown,"So then you will be playing your acoustic guitar in front of people then, in public."
unknown,- And singing a song.
unknown,- And singing a song.
unknown,I was thinking about singing an original song.
unknown,- An original song?
unknown,"- But then I thought you know, it's probably best just to stick with a classic."
unknown,So I'm sensing some apprehension.
unknown,"No, I think it's, you know, it's it's not scary or embarrassing for the person you're dating to sing at you with an acoustic guitar in front of people."
unknown,I think that's cool.
unknown,"David, you're gonna be fine."
unknown,"It's just a way to get some people in the store, okay?"
unknown,"I mean, if you are, confident, to put yourself and our relationship at risk like that, then I am 87 behind you."
unknown,"So now the only question is, - do I wear my fringed vest?"
unknown,"Or more importantly, do I wear anything under it?"
unknown,"This image is gonna be used as the key art for the new website, so it has to be like, on message."
unknown,"Yes, uh, Stevie, Mr."
unknown,"Rose, the motivation here is two small-town friends welcoming guests to their humble motel."
unknown,Should I be holding a key?
unknown,"Rose, unless you wanna look really, really corny."
unknown,"Yeah, like really, really cheesy, and off-brand."
unknown,"All right, no key."
unknown,"Just look at the camera like uh, it's a guest."
unknown,"If the camera was your guest, how would you greet her?"
unknown,"Um, welcome to the Schitt's Creek Motel."
unknown,"Um, yes, but no, don't use your mouth."
unknown,"Uh, um, talk to the guests with your face."
unknown,Smile with your eyes.
unknown,What the fck does that mean?
unknown,"Okay, Johnny, what are we doing with our hands?"
unknown,"Alexis, I don't love you calling me Johnny."
unknown,"- Okay, are we done here?"
unknown,"- Okay, it's probably my fault, but I don't think I've gotten a good photo yet."
unknown,"Yeah, something about this is just not working for me."
unknown,"Um, like can you whispers"
unknown,"Rose, would you mind taking one step to your left?"
unknown,"Okay now, three more steps to your left."
unknown,"So Stevie, one other angle that I'm playing is focusing just on you."
unknown,"Pretty country girl who doesn't care about big city things like dressing well, or how she looks."
unknown,"We could rename the motel like, Stevie's Place."
unknown,Stevie's Place sounds like a shelter for battered men.
unknown,"Okay, well the name was just a jumping off point."
unknown,"Um, we could use your last name, and call it the Budd Inn."
unknown,"And now that I'm saying that out loud, obviously we're not gonna do that."
unknown,But I do wanna focus on you.
unknown,"Is this a team meeting, 'cause I'm part of the team."
unknown,"Uh, no we're good, we're gonna focus on a solo shot."
unknown,"Don't take it personally, Mr."
unknown,"Rose, it's probably because you didn't know what to do with your hands."
